Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J15,Conn_01x06,PinSocket_1x06_P2.00mm_Vertical,115.3668,-65.41,0.0,bottom
Q1,Q_NMOS_GSD,SOT-23,76.5,-35.0,180.0,top
Q2,Q_PMOS_GDS,SOT-23,71.7,-33.6,-90.0,top
Q3,Q_NMOS_GSD,SOT-23,80.79,-32.75,-90.0,top
R1,180,R_0402_1005Metric,86.106,-52.0,-90.0,top
R2,180,R_0402_1005Metric,86.606,-50.3,180.0,top
R3,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115.518,-96.51,90.0,top
R4,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,125.6055,-107.01,0.0,top
R5,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,72.4125,-42.5,0.0,top
R6,2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.0,-52.5,-90.0,top
R7,180,R_0402_1005Metric,88.356,-50.8,90.0,top
R8,180,R_0402_1005Metric,88.356,-52.9,90.0,top
R9,180,R_0402_1005Metric,87.056,-54.5,90.0,top
R10,316,R_0402_1005Metric,90.106,-50.3,0.0,top
R11,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-28.83,180.0,top
R12,100R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.186,-30.53,180.0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,67.7,-34.7,180.0,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.19,-32.23,0.0,top
R15,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,91.9,-26.3,-90.0,top
R16,1k,C_0402_1005Metric,93.0,-38.0,90.0,top
R17,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,61.02,-77.78,90.0,top
R18,1k,C_0402_1005Metric,117.3,-39.4,0.0,top
R19,316,R_0402_1005Metric,90.106,-51.5,0.0,top
R20,27,C_0402_1005Metric,103.0,-38.0,0.0,top
R21,27,C_0402_1005Metric,103.0,-37.0,0.0,top
R24,316,R_0402_1005Metric,90.106,-52.7,0.0,top
R25,316,R_0402_1005Metric,90.106,-53.9,0.0,top
R27,5.1k,R_0402_1005Metric,120.1,-27.95,90.0,top
R29,5.1k,R_0402_1005Metric,117.075,-28.15,0.0,top
RV1,R_POT_MountingPin,GCC_Slider,85.99,-41.005,0.0,bottom
RV2,R_POT_MountingPin,GCC_Slider,135.99,-41.005,0.0,bottom
S1,BOOTSEL,SW_TS-1187A-B-A-B,97.5,-32.1625,-90.0,top
SW1,A,ABXY_Contact_Omron_Switch,152.270626,-52.22,0.0,top
SW2,B,ABXY_Contact_Omron_Switch,138.05786,-59.312339,41.0,top
SW3,X,ABXY_Contact_Omron_Switch,166.587692,-48.691132,12.0,top
SW4,Y,ABXY_Contact_Omron_Switch,147.451247,-37.294834,-63.0,top
SW5,Start,Dpad_Contact_TL3315NF_2,111.0,-51.135,180.0,top
SW6,L,Pin_Header_Straight_1x02_Pitch2.54mm,51.65,-59.69,180.0,bottom
SW7,R,Pin_Header_Straight_1x02_Pitch2.54mm,169.9,-60.0,180.0,bottom
SW8,Z,Z_Switch_Edge_Omron,161.178943,-35.440048,-30.0,top
SW8L,ZL,Z_Switch_Edge_Omron,60.11527,-34.227612,30.0,top
SW9,Dleft,Dpad_Contact_TL3315NF_2,80.74,-81.128006,180.0,top
SW10,Dup,Dpad_Contact_TL3315NF_2,88.688006,-73.18,-90.0,top
SW11,Dright,Dpad_Contact_TL3315NF_2,96.64,-81.128006,180.0,top
SW12,Ddown,Dpad_Contact_TL3315NF_2,88.691994,-89.08,90.0,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,91.073,21.2105,180.0,top
U1,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,86.2,-40.8,0.0,top
U2,Stickbox_Assembly_Main,GCC_Stickbox_Hall_Only,69.795083,-51.128232,177.0,top
U3,MCP3002,SOIC-8_3.9x4.9mm_P1.27mm,109.518,-77.41,90.0,top
U4,DRV5055A2xDBZxQ1,SOT-23,123.716,-89.91,-90.0,top
U5,Stickbox_Assembly_CStick,GCC_Stickbox_Hall_Only,123.719,-98.604551,-90.0,top
U6,AMS1117-3.3,SOT-223-3_TabPin2,54.26,-69.34,0.0,top
U7,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,97.0,-48.0,90.0,top
U8,RP2040,RP2040-QFN-56,110.0,-39.0,90.0,top
U9,DRV5055A2xDBZxQ1,SOT-23,132.418,-98.61,180.0,top
U10,DRV5055A2xDBZxQ1,SOT-23,69.350935,-59.811215,87.0,top
U11,DRV5055A2xDBZxQ1,SOT-23,78.475,-51.575,177.0,top
U12,CUI_UJ31-CH-G1-SMT-TR,CUI_UJ31-CH-G1-SMT-TR,90.75,11.0455,180.0,bottom
Y1,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,120.9,-40.65,180.0,top
